es-en.1	0	mt	9	
es-en.1	0	s1	8	false
es-en.1	0	s4	9	true
es-en.1	0	s2	9	true
es-en.1	0	s3	9	false
es-en.1	1	mt	10	
es-en.1	1	s2	10	true
es-en.1	1	s4	10	true
es-en.1	1	s3	10	false
es-en.1	1	s1	10	false
es-en.1	2	mt	6	
es-en.1	2	s2	6	true
es-en.1	2	s1	8	false
es-en.1	2	s4	8	true
es-en.1	2	s3	8	false
es-en.1	3	mt	6	
es-en.1	3	s2	9	true
es-en.1	3	s1	10	false
es-en.1	3	s4	9	true
es-en.1	3	s3	6	false
es-en.1	4	mt	8	
es-en.1	4	s1	9	false
es-en.1	4	s3	8	false
es-en.1	4	s2	8	true
es-en.1	4	s4	8	true
es-en.1	5	mt	6	
es-en.1	5	s4	6	true
es-en.1	5	s3	10	false
es-en.1	5	s1	9	false
es-en.1	5	s2	10	true
es-en.1	6	mt	9	
es-en.1	6	s1	9	false
es-en.1	6	s2	9	true
es-en.1	6	s3	9	false
es-en.1	6	s4	10	true
es-en.1	7	mt	10	
es-en.1	7	s1	9	false
es-en.1	7	s3	9	false
es-en.1	7	s2	10	true
es-en.1	7	s4	10	true
es-en.1	8	mt	9	
es-en.1	8	s1	9	false
es-en.1	8	s4	10	true
es-en.1	8	s2	9	true
es-en.1	8	s3	9	false
es-en.1	9	mt	8	
es-en.1	9	s4	9	true
es-en.1	9	s3	10	false
es-en.1	9	s2	9	true
es-en.1	9	s1	8	false
es-en.1	10	mt	6	
es-en.1	10	s3	6	false
es-en.1	10	s1	6	false
es-en.1	10	s2	6	true
es-en.1	10	s4	9	true
es-en.1	11	mt	8	
es-en.1	11	s4	9	true
es-en.1	11	s2	9	true
es-en.1	11	s3	8	false
es-en.1	11	s1	8	false
es-en.1	12	mt	8	
es-en.1	12	s3	9	false
es-en.1	12	s2	8	true
es-en.1	12	s4	9	true
es-en.1	12	s1	9	false
es-en.1	13	mt	4	
es-en.1	13	s4	6	true
es-en.1	13	s3	4	false
es-en.1	13	s1	6	false
es-en.1	13	s2	8	true
es-en.1	14	mt	6	
es-en.1	14	s2	8	true
es-en.1	14	s3	8	false
es-en.1	14	s4	8	true
es-en.1	14	s1	9	false
es-en.1	15	mt	6	
es-en.1	15	s3	6	false
es-en.1	15	s2	6	true
es-en.1	15	s4	6	true
es-en.1	15	s1	9	false
es-en.1	16	mt	4	
es-en.1	16	s3	10	false
es-en.1	16	s4	9	true
es-en.1	16	s2	9	true
es-en.1	16	s1	2	false
es-en.1	17	mt	10	
es-en.1	17	s3	10	false
es-en.1	17	s1	10	false
es-en.1	17	s4	9	true
es-en.1	17	s2	10	true
es-en.1	18	mt	8	
es-en.1	18	s2	9	true
es-en.1	18	s3	8	false
es-en.1	18	s4	9	true
es-en.1	18	s1	10	false
es-en.1	19	mt	10	
es-en.1	19	s3	10	false
es-en.1	19	s2	10	true
es-en.1	19	s1	10	false
es-en.1	19	s4	10	true
es-en.1	20	mt	10	
es-en.1	20	s2	10	true
es-en.1	20	s1	10	false
es-en.1	20	s3	10	false
es-en.1	20	s4	10	true
es-en.1	21	mt	8	
es-en.1	21	s3	8	false
es-en.1	21	s1	6	false
es-en.1	21	s4	8	true
es-en.1	21	s2	8	true
es-en.1	22	mt	4	
es-en.1	22	s2	4	true
es-en.1	22	s3	9	false
es-en.1	22	s1	8	false
es-en.1	22	s4	9	true
es-en.1	23	mt	10	
es-en.1	23	s4	10	true
es-en.1	23	s3	10	false
es-en.1	23	s2	10	true
es-en.1	23	s1	9	false
es-en.1	24	mt	8	
es-en.1	24	s3	8	false
es-en.1	24	s1	10	false
es-en.1	24	s4	9	true
es-en.1	24	s2	9	true
es-en.1	25	mt	9	
es-en.1	25	s3	10	false
es-en.1	25	s1	8	false
es-en.1	25	s4	10	true
es-en.1	25	s2	10	true
es-en.2	0	mt	8	
es-en.2	0	s3	10	true
es-en.2	0	s1	10	true
es-en.2	0	s4	10	false
es-en.2	0	s2	10	false
es-en.2	1	mt	6	
es-en.2	1	s1	10	true
es-en.2	1	s2	6	false
es-en.2	1	s3	6	true
es-en.2	1	s4	6	false
es-en.2	2	mt	4	
es-en.2	2	s4	9	false
es-en.2	2	s3	6	true
es-en.2	2	s1	4	true
es-en.2	2	s2	8	false
es-en.2	3	mt	10	
es-en.2	3	s2	10	false
es-en.2	3	s1	10	true
es-en.2	3	s3	10	true
